EdgeStatsReport
SVGenTotalHours	0.0019h wall, 0.0009h user + 0.0000h system = 0.0009h CPU (46.54%)
1	0
2	1
3+	0
TotalAssemblyCandidates	2
TotalSpanningAssemblyCandidates	2
AssemblyCandidatesPerJunction:
0	0
1	2
2	0
3	0
4	0
5+	0
totalHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (94.48%)
totalSecsPerEdge	0.0450s wall, 0.0400s user + 0.0025s system = 0.0425s CPU (94.48%)
totalSecsPerCand	0.0900s wall, 0.0800s user + 0.0050s system = 0.0850s CPU (94.48%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (113.35%)
candiSecsPerEdge	0.0044s wall, 0.0050s user + 0.0000s system = 0.0050s CPU (113.35%)
candiSecsPerCand	0.0088s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (113.35%)
assemHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (102.97%)
assemSecsPerEdge	0.0146s wall, 0.0125s user + 0.0025s system = 0.0150s CPU (102.97%)
assemSecsPerCand	0.0291s wall, 0.0250s user + 0.0050s system = 0.0300s CPU (102.97%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (86.57%)
scoreSecsPerEdge	0.0260s wall, 0.0225s user + 0.0000s system = 0.0225s CPU (86.57%)
scoreSecsPerCand	0.0520s wall, 0.0450s user + 0.0000s system = 0.0450s CPU (86.57%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)

[SelfEdges]
InputEdgeCount	4
InputEdgeCandidatesPerEdge:
0	0
1	4
2	0
3	0
4	0
5+	0
CandidateCount	4
ComplexCandidateCount	4
EdgeFilter	0
SemiMappedFilter	0
ComplexLowCountFilter	0
ComplexLowSignalFilter	0
UnmatchedReadPairFilter	0
SpanningComplexCandidateFiltered	0
JunctionAssemblyOverlapSkipped	0
JunctionCount	4
ComplexJunctionCount	4
BreaksPerJunction:
0	0
1	4
2	0
3+	0
TotalAssemblyCandidates	3
TotalSpanningAssemblyCandidates	0
AssemblyCandidatesPerJunction:
0	1
1	3
2	0
3	0
4	0
5+	0
totalHours	0.0001h wall, 0.0001h user + 0.0000h system = 0.0001h CPU (92.67%)
totalSecsPerEdge	0.0594s wall, 0.0550s user + 0.0000s system = 0.0550s CPU (92.67%)
totalSecsPerCand	0.0594s wall, 0.0550s user + 0.0000s system = 0.0550s CPU (92.67%)
candiHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (115.33%)
candiSecsPerEdge	0.0087s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (115.33%)
candiSecsPerCand	0.0087s wall, 0.0100s user + 0.0000s system = 0.0100s CPU (115.33%)
assemHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (85.80%)
assemSecsPerEdge	0.0320s wall, 0.0275s user + 0.0000s system = 0.0275s CPU (85.80%)
assemSecsPerCand	0.0320s wall, 0.0275s user + 0.0000s system = 0.0275s CPU (85.80%)
scoreHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (94.14%)
scoreSecsPerEdge	0.0186s wall, 0.0175s user + 0.0000s system = 0.0175s CPU (94.14%)
scoreSecsPerCand	0.0186s wall, 0.0175s user + 0.0000s system = 0.0175s CPU (94.14%)
nocatHours	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (0.00%)
nocatSecsPerEdge	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
nocatSecsPerCand	0.0000s wall, 0.0000s user + 0.0000s system = 0.0000s CPU (0.00%)
